Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BHR,BHS,BLR,BLZ,BOL,BRA,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CZE,DEU,DJI,DNK,DOM,DZA,ECU,ERI,ESP,EST,ETH,FIN,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,GUY,HND,HTI,HUN,IDN,IND,IRN,IRQ,ISR,ITA,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KOR,KWT,LAO,LBN,LBR,LBY,LKA,LSO,MAR,MDA,MDG,MDV,MEX,MHL,MLI,MMR,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLE,SLV,SOM,SSD,STP,SUR,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TUN,TUR,TUV,TWN,TZA,UGA,UKR,USA,UZB,VEN,VNM,WSM,YEM,ZAF,ZMB,ZWE
1973,,9.0,,,,,,,,,,,2.0,249.0,369.0,0.0,,,,,,,,,,,,,,,16.0,,,,,,,,,0.0,,,,74.0,,,,,,,0.0,,,0.0,,39.0,,,,,,,,,,,3058.0,5406.0,,,,23.0,,,,,,14.0,,,,,,27.0,,13.0,,,,,,,,32.0,24.0,,87.0,22.0,,20.0,17.0,,16.0,27.0,,,,0.0,,,,10081.0,,,,447.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,33.0,,,,16.0,,,,,,,,,,18.0,,23.0,0.0,,
1974,,34.0,,,,,,,,,,,4.0,66.0,173.0,,,,,,,,,,,,,,,,16.0,,,,,8.0,,,,0.0,,,,50.0,,,,,,,0.0,,,0.0,,37.0,,,,,,,,,,,3920.0,2289.0,,,,,,,,20.0,,1.0,,,,,,12.0,,333.0,,,,,,,,21.0,203.0,,138.0,,,,0.0,,75.0,,,,,0.0,,,,7649.0,,,,33.0,,,,48.0,,,,,,,,,0.0,,,,,,,,0.0,,,,87.0,8.0,64.0,,,,,,,,6.0,,,,,,2.0,,1.0,0.0,,0.0
1975,,4.0,,,,,,,,,,,1.0,3.0,117.0,,,,,,,,,,,,,,,,0.0,,,,238.0,3.0,,,,,,,,118.0,,,0.0,,,,0.0,,,0.0,,10.0,,,,,,,,,,,3715.0,2330.0,,,,0.0,,0.0,,74.0,,0.0,,,1.0,,,16.0,,67.0,,,,,,,,,172.0,,3.0,,,,8.0,,,1.0,,,,0.0,,,,7079.0,,,,15.0,,,,8.0,,,,,,48.0,,,0.0,,,,,,,,,,,6.0,,,88.0,,,,,,,,,0.0,,,,,0.0,,0.0,,,33.0
1976,,,,,,,,,,,,,14.0,,62.0,,,,,,,,,,,,,,,,27.0,,,,1.0,17.0,,,,0.0,0.0,,,30.0,,,0.0,,,,0.0,,,0.0,,0.0,,,,,,,,,,,2665.0,662.0,,,,,0.0,0.0,,59.0,,,,,0.0,,,10.0,,16.0,,0.0,,,,,,,173.0,,2.0,,,0.0,4.0,,,25.0,,1.0,,1.0,,,,3949.0,,,,160.0,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,11.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,9.0
1977,,31.0,,,,,,0.0,,,,,0.0,,354.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,9.0,,,,,,,,,,0.0,,353.0,,,,,,,,,,,780.0,289.0,,1.0,,0.0,1.0,1.0,,0.0,,,21.0,,0.0,,0.0,18.0,,0.0,,,,,,,,,,,3.0,,,0.0,12.0,,,10.0,,0.0,,4.0,,,,2177.0,1.0,,,180.0,,,,,,,,0.0,,0.0,,,0.0,0.0,,,,,,,,,,66.0,,12.0,5.0,,,,,0.0,,,26.0,,,,,,0.0,,,,,
1978,,,,,,,,0.0,,,248.0,,0.0,0.0,81.0,2.0,,,,,,,,,,,0.0,,,,0.0,183.0,14.0,,,,,,,,2.0,,,13.0,,,,,,,,,,,,120.0,,,,,,,,,,,507.0,246.0,,0.0,,,,1.0,,17.0,,,0.0,,0.0,,,9.0,,2.0,,,,,220.0,,,,372.0,,,,,24.0,64.0,,,20.0,,0.0,,10.0,0.0,,,3354.0,,,,122.0,,,,,,,,,48.0,1.0,,8.0,0.0,,,,,,,,,,,,,6.0,123.0,,,,,,,,733.0,110.0,,,,,0.0,,12.0,,36.0,
1979,,,,,,,,0.0,,,31.0,,,,21.0,0.0,,,,,,,,,,,,,2.0,0.0,4.0,511.0,0.0,,,,,,,,,,,94.0,,,,,0.0,,0.0,,2.0,,,113.0,,,,,,,,,,,769.0,113.0,56.0,,,0.0,0.0,0.0,,2.0,,,,,0.0,,,6.0,,0.0,,,,,,,,,75.0,,547.0,,,,10.0,,,4.0,,0.0,,0.0,0.0,,,3478.0,,,,408.0,,,,,,,8.0,,0.0,0.0,176.0,3.0,0.0,,,,,,,,0.0,,,30.0,,,44.0,,,,,,,,305.0,60.0,,,,,28.0,,45.0,0.0,11.0,
1980,,,,,,,,0.0,,,28.0,0.0,0.0,,,,,,,,,,,,,,0.0,,0.0,,23.0,81.0,,,,,,,,0.0,,,,18.0,,,0.0,,,,0.0,,,,,21.0,,,,,,,,,,,150.0,307.0,32.0,,,,,0.0,,42.0,,,,4.0,,,,55.0,,4.0,,,,,,,,,50.0,,85.0,,,,7.0,,,25.0,,,,0.0,,,,1954.0,,,,61.0,,,0.0,,,,,0.0,4.0,0.0,2.0,,0.0,,,,,,,,,,,,,,85.0,,,,,,,,587.0,181.0,,,,,49.0,0.0,20.0,16.0,17.0,
1981,,,,,,,,0.0,,,11.0,0.0,0.0,,,,,,,,,,,,,,,,,,17.0,800.0,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,62.0,,,,,0.0,,,,,,463.0,150.0,108.0,,,,4.0,0.0,,108.0,,,,,0.0,,,33.0,,57.0,,,,,,,,,3.0,,132.0,,,0.0,14.0,,0.0,18.0,,,0.0,0.0,,,,2441.0,0.0,,,51.0,,,,0.0,,,,0.0,1.0,0.0,,0.0,0.0,,,,,,,,,17.0,,,,,2.0,,,,,,,,330.0,,,,,,8.0,,,52.0,0.0,
1982,,,,,,,,0.0,0.0,,9.0,,0.0,,,,,,,,,0.0,,,,,,,,0.0,3.0,693.0,,,,,,,,0.0,,,,,,,0.0,,0.0,,0.0,,,0.0,,1225.0,,,,,,,,,,,535.0,213.0,0.0,,0.0,,,0.0,,91.0,,,,,,,,8.0,,21.0,,,,,,,,,,,199.0,,,,17.0,,,18.0,,,,,,,,3821.0,,,,31.0,,,,,,,,,2.0,,,,0.0,,,,,,,,,13.0,,,,,16.0,,,,,,,,324.0,48.0,,,,,0.0,,,224.0,131.0,
1983,,,,,,,,0.0,,,35.0,0.0,0.0,,,,,,,,,,,,,,,,,,18.0,245.0,,,,,,,,,,,,9.0,,,0.0,,,,0.0,,,0.0,,819.0,,,,,,,,,,,346.0,309.0,0.0,,,,,0.0,,53.0,,,,,,,,12.0,,2.0,,,,,,,,,29.0,,447.0,,,49.0,38.0,,,2.0,,0.0,,,,,,2668.0,,,,,,,,,,,,,5.0,,,,0.0,,,,,,,,,,,,,,41.0,,,,,,,,127.0,,,,,,0.0,,,63.0,19.0,
1984,,,,,,,,0.0,,,10.0,0.0,0.0,117.0,,,,,,,,,,,,,,,,,60.0,3.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,,92.0,,,,31.0,,,,,,,59.0,27.0,5.0,,,,,0.0,,0.0,,,,,,,,8.0,,,,,,,,,,406.0,,,11.0,15.0,,,1.0,,308.0,185.0,,,,,,,,1830.0,,,,,,,,,,,,0.0,13.0,,,94.0,8.0,,,,,,,,0.0,,,,,,19.0,,,,,,,,338.0,,,,,,0.0,,,20.0,,
1985,,,,,,,,0.0,,,15.0,0.0,,156.0,,,,,,,,,,,,,0.0,,,,103.0,30.0,,,,,,,,,7.0,,,,,,,,,,,,,1.0,,0.0,,0.0,,1.0,,,,,,,85.0,155.0,9.0,,,,,0.0,,102.0,,,,,0.0,,,3.0,,,,,,,,,,838.0,,,0.0,20.0,,,2.0,,,0.0,,,,,,,,4114.0,,,,1.0,,,,,,,,,0.0,,239.0,474.0,1.0,,,1589.0,,,,,,,,,,,14.0,,,,,,,,250.0,,,,,,9.0,,,4.0,,6.0
1986,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,12.0,125.0,,,,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,58.0,,50.0,,0.0,,,,,,391.0,70.0,1.0,,,,,0.0,,45.0,,,,,0.0,,,0.0,,,,,,,,,,151.0,,,0.0,113.0,,,2.0,,,23.0,,,,,,,,3966.0,,,,,,,,,,,,0.0,7.0,3.0,,63.0,0.0,669.0,,1945.0,,,,,0.0,,,,,,1.0,,,,,,,,215.0,,,,,,8.0,,,1.0,,
1987,,1403.0,,,,,,0.0,,,,,,,23.0,,,,,,,,,,,,,,0.0,,6.0,218.0,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,0.0,,,,,68.0,,,,,,,,18.0,240.0,4.0,,0.0,,,0.0,,12.0,,55.0,,,,,,1.0,,,,,,,,,,84.0,,,,101.0,,,18.0,,,111.0,,,0.0,,,0.0,,3009.0,,,,,,,,,,,,,6.0,,,288.0,0.0,30.0,,,,,,,0.0,,,,,,36.0,,,,,,,,232.0,50.0,,0.0,,,5.0,,,0.0,,
1988,,1542.0,,,,,,0.0,,,,,,,43.0,,,,,,,,,,,0.0,0.0,,89.0,,0.0,32.0,,,,,,,,0.0,,,,30.0,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,380.0,15.0,,0.0,,,0.0,,,,0.0,,,,,,1.0,,11.0,,,,,,,,,,,,38.0,,0.0,32.0,,,10.0,,0.0,,,,,,2855.0,,,,,,,,,,,,,3.0,,,1.0,0.0,,,,,,,,,,,,,0.0,41.0,,,,,,,,580.0,,,0.0,,,7.0,,,,,
1989,,925.0,,,,,,,,,,,,,2.0,,,,,,,,,,,0.0,,,59.0,,2.0,6.0,,,,,,,,0.0,,,,0.0,,,0.0,,,,,,,0.0,,,,,,,,,,,,,0.0,93.0,85.0,,,,,0.0,,32.0,,2.0,,,0.0,,,0.0,,,,,,,,,,,11.0,,12.0,27.0,,16.0,14.0,,22.0,61.0,,,0.0,2.0,,,,1711.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,64.0,,,,,,,,,,,,,,,,,232.0,,,,,,0.0,,,,44.0,
1990,,809.0,,,,,,0.0,0.0,,,,,,4.0,,,,,,,,,,,,,,5.0,,0.0,61.0,,,,,,,,0.0,,0.0,,20.0,,,0.0,,,,1.0,1.0,,0.0,,60.0,,,,,,,,,,,0.0,83.0,3.0,,,,0.0,0.0,,,,0.0,,,,,,,,,,137.0,,,,,,,,,194.0,,,481.0,38.0,,,,,0.0,,495.0,,0.0,,2802.0,,,,,,,,,,,1.0,0.0,,,,,0.0,,,,,9.0,,,,,,,,,,,,,,,0.0,,81.0,,,0.0,,,4.0,,,,315.0,
1991,,582.0,,,,,,,,,,,259.0,61.0,0.0,,,,,12.0,33.0,,19.0,,,0.0,,2.0,0.0,116.0,491.0,294.0,,207.0,,,,,,,,,,,697.0,,0.0,,,,0.0,,,0.0,,409.0,,,,,,50.0,,0.0,,,55.0,149.0,32.0,6.0,,,,1.0,,,,97.0,,4.0,,,,40.0,,2.0,,,,,,34.0,,,39.0,,328.0,,,245.0,6.0,,367.0,7654.0,0.0,,,873.0,,,,19302.0,,29.0,2909.0,,,0.0,,,,,9.0,0.0,35.0,,,,2.0,,34.0,,,1.0,,,,,,,1344.0,81.0,,,,,,,,,572.0,28.0,0.0,0.0,,2.0,1.0,,,0.0,1091.0,
1992,,184.0,,,,15.0,,0.0,,,29.0,,17.0,,29.0,,,,4.0,395.0,363.0,,6.0,,,0.0,0.0,1.0,1.0,7.0,66.0,59.0,,158.0,,,0.0,,,0.0,,,,0.0,208.0,,,,,,,,,0.0,,23.0,,,,,,207.0,8.0,17.0,,,0.0,55.0,4.0,0.0,,,,0.0,,100.0,,120.0,,0.0,,,,,,3.0,,,,,,99.0,,,50.0,,727.0,,,8.0,8.0,,,686.0,46.0,,,15.0,,,,8214.0,,49.0,801.0,0.0,,,,,,,0.0,,35.0,,,,0.0,,45.0,,,,1.0,,0.0,30.0,,,,53.0,,,,,,,8.0,,2173.0,104.0,,1.0,,68.0,110.0,,0.0,0.0,913.0,105.0
1993,931.0,,,0.0,,34.0,,0.0,0.0,,0.0,0.0,2.0,,0.0,,,,3.0,254.0,644.0,,,,,1.0,0.0,0.0,94.0,42.0,19.0,175.0,,0.0,,,0.0,,,0.0,99.0,0.0,,,72.0,,0.0,0.0,,,0.0,,,0.0,0.0,38.0,,,,,0.0,306.0,2.0,102.0,,,25.0,51.0,5.0,0.0,,,,0.0,0.0,,,104.0,,0.0,0.0,255.0,23.0,,,0.0,,,0.0,,,193.0,,,52.0,,507.0,,,524.0,13.0,,,266.0,220.0,0.0,,0.0,,,,6761.0,206.0,4.0,575.0,10.0,,,,,0.0,,0.0,2.0,34.0,,,,0.0,,14.0,,,,,,,,,,,2.0,,5.0,,,,,,,74.0,,,0.0,,10.0,9.0,,,2.0,426.0,332.0
1994,118.0,187.0,25.0,,,15.0,,0.0,0.0,0.0,41.0,0.0,20.0,,41.0,,,0.0,1.0,46.0,452.0,,,,,0.0,,0.0,319.0,55.0,61.0,4181.0,,14.0,,12.0,0.0,,,0.0,15.0,0.0,,4.0,16.0,,0.0,,,,0.0,,,0.0,,54.0,671.0,0.0,285.0,,,36.0,,102.0,,,0.0,32.0,0.0,0.0,,9.0,,0.0,0.0,28.0,0.0,211.0,,0.0,,606.0,,17.0,,,,0.0,0.0,,,56.0,,,4.0,,27.0,,,11.0,0.0,,83.0,313.0,134.0,0.0,,0.0,,0.0,,10750.0,,,199.0,27.0,,0.0,,0.0,,,4.0,15.0,0.0,,,,1.0,623.0,38.0,1206.0,,,,,0.0,,,,43.0,5.0,5.0,0.0,0.0,,,,,,155.0,39.0,20.0,0.0,0.0,,68.0,,,0.0,,
1995,624.0,248.0,,,,1.0,,0.0,,,,,12.0,113.0,61.0,,,0.0,1.0,54.0,85.0,,0.0,,,0.0,0.0,,88.0,184.0,21.0,22.0,,35.0,,240.0,0.0,,,0.0,,0.0,,,23.0,,0.0,,,0.0,0.0,,,0.0,,93.0,565.0,0.0,0.0,,,95.0,,77.0,,,,5.0,59.0,3.0,,0.0,,1.0,0.0,39.0,,123.0,,0.0,,174.0,,126.0,2.0,,,,5.0,,,137.0,,231.0,6.0,,,,,0.0,27.0,,15.0,87.0,164.0,0.0,0.0,0.0,,0.0,,5045.0,,,171.0,4.0,,,,0.0,,,3.0,0.0,0.0,,,160.0,0.0,447.0,2.0,191.0,,,,,0.0,,,,,4.0,,,,,,,,,96.0,66.0,10.0,0.0,,,45.0,,,,,
1996,,42.0,,,,5.0,,0.0,0.0,,,,203.0,58.0,0.0,,,,0.0,68.0,33.0,,,,,0.0,,0.0,4.0,22.0,485.0,638.0,,70.0,,3.0,1.0,,,,,,,,12.0,,0.0,,,,0.0,0.0,,0.0,,70.0,17.0,0.0,84.0,,,14.0,,14.0,,,0.0,34.0,,0.0,,,,0.0,,14.0,,20.0,,,,33.0,,169.0,,,,,,0.0,,5.0,,761.0,,12.0,0.0,148.0,,0.0,0.0,,206.0,1193.0,107.0,0.0,,1.0,,,,6418.0,,,21.0,14.0,,,,,0.0,,,1.0,10.0,,,765.0,1.0,,2.0,464.0,,,,,0.0,0.0,,,448.0,17.0,,,,,,,,,36.0,40.0,,0.0,,9.0,2.0,,,,42.0,
1997,125.0,,,,,12.0,,0.0,,,95.0,,16.0,,95.0,,,,0.0,18.0,37.0,,,,75.0,,,0.0,29.0,,180.0,326.0,60.0,32.0,,,0.0,,,0.0,50.0,,,,3.0,,,,,,0.0,,,0.0,,12.0,,,905.0,,,0.0,,1.0,,0.0,0.0,16.0,9.0,,,,,0.0,0.0,555.0,,0.0,,0.0,,,,0.0,,12.0,,,,,,1.0,,3.0,,,259.0,7.0,,15.0,4.0,,13.0,134.0,36.0,0.0,,0.0,,,,6371.0,,,29.0,0.0,,,,,,,,0.0,16.0,,,11.0,0.0,,,252.0,,,,,,,,,443.0,7.0,,,0.0,,,,,,2231.0,188.0,,0.0,,59.0,0.0,,,,0.0,
