Date,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BHR,BHS,BLR,BLZ,BOL,BRA,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CZE,DEU,DJI,DNK,DOM,DZA,ECU,ERI,ESP,EST,ETH,FIN,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,GUY,HND,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISR,ITA,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KOR,KWT,LAO,LBN,LBR,LBY,LKA,LSO,MAR,MDA,MDG,MDV,MEX,MHL,MLI,MMR,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLE,SLV,SOM,SSD,STP,SUR,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TUN,TUR,TUV,TWN,TZA,UGA,UKR,USA,UZB,VEN,VNM,WSM,YEM,ZAF,ZMB,ZWE
1972,,268.0,,2.0,,,40.0,,,,,250.0,1.0,1059.0,74.0,,,,,,,,,,,,,,,362.0,,,,,,,,,2.0,8.0,,,646.0,,,,,,,,,,2.0,,625.0,,,,,,,,,,,44383.0,20435.0,,322.0,,11.0,,,,,51.0,,,,,,,,947.0,,,,7.0,,,,,,2.0,180.0,,,148.0,,,864.0,,51.0,1363.0,,,,1.0,,3.0,,80248.0,,,,5601.0,,,,,,,,,,303.0,,379.0,114.0,,,,,,,,,,,505.0,9.0,16.0,,,,,4.0,,,,,,,,,,146.0,,1064.0,,,
1973,,263.0,,,,,,,,,,3.0,1118.0,1969.0,37.0,,,,,,,,,,,,,,,206.0,,,,,,,,,6.0,,,,605.0,,,,,,,4.0,,,5.0,,677.0,,,,,,,,,,,52042.0,41611.0,,55.0,,,278.0,,,,,,159.0,,,,,,1336.0,,118.0,,,,,,,,219.0,386.0,,453.0,150.0,,371.0,369.0,,121.0,157.0,,,,7.0,,,,108788.0,,,,2840.0,,,,,,,,,,,,,1.0,,,,,,,,10.0,,,,,,844.0,,,,656.0,,,,,,,,,,1495.0,,215.0,1.0,,1.0
1974,,934.0,,,,,,,,,,73.0,632.0,5614.0,,,,,,,,,,,,,,,,83.0,,,,,303.0,,,,3.0,,,,738.0,,,5.0,,,,5.0,,,3.0,,483.0,,,,,,,,,,,41474.0,30903.0,,304.0,,,,,,,402.0,,145.0,,,,,,512.0,,4559.0,,,,,,,,130.0,2363.0,,1018.0,,,,349.0,,286.0,,,,,8.0,,,,97635.0,,,,1730.0,,,,2467.0,,,,,,,,,8.0,,,,,,,,1.0,,,,338.0,58.0,1475.0,,,,,,,,10.0,,,,,,139.0,,6.0,37.0,,37.0
1975,,88.0,,,,,,,,,,45.0,3.0,4888.0,,,,,,,,,,,,,,,,3.0,,,,2675.0,20.0,,,,1.0,,,,1165.0,,,11.0,,,,9.0,,,1.0,,187.0,,,,,,,,,,,48387.0,22049.0,,2966.0,,,1.0,,3.0,,1093.0,,66.0,,,3.0,,,704.0,,1453.0,,,,,,,,,2942.0,,11.0,,,,110.0,,,38.0,,,,260.0,,,,93055.0,,,,680.0,,,,1066.0,,,,,,91.0,,,10.0,,,,,,,,,,,67.0,,,1335.0,,,,,,,,,3.0,,,,,5.0,,1.0,,,615.0
1976,,,,,,,,,,,,146.0,,957.0,,,,,,,,,,,,,,,,135.0,,,,5.0,219.0,,,,2.0,2.0,,,286.0,,,2.0,,,,5.0,,,1.0,,102.0,,,,,,,,,,,41264.0,14946.0,,2100.0,,,,152.0,6.0,,1359.0,,,,,2.0,,,646.0,,728.0,,2.0,,,,,,,1519.0,,3.0,,,19.0,246.0,,,112.0,,1.0,,185.0,,,,68619.0,144.0,,,1258.0,,,,,,,,1.0,,50.0,,,,,,,,,,,1.0,,,795.0,,,6.0,,,,,,,,,,,,,,1068.0,,,,,144.0
1977,,726.0,,,,,2.0,,,,,2.0,,10403.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,2.0,,,262.0,,,,,,,,,,2.0,,6565.0,,,,,,,,,,,17112.0,8376.0,,10836.0,133.0,,2.0,427.0,52.0,,21.0,,,1307.0,,13.0,,30.0,512.0,,5.0,,,,,,,,,,,18.0,,,577.0,444.0,,,376.0,,1.0,,428.0,,,,63276.0,12.0,,,1363.0,,,,,,,,1.0,,18.0,,,11.0,12.0,,,,,,,,,,2362.0,,132.0,383.0,,,,,17.0,,,297.0,,,,,,32.0,,,,,
1978,,,,,,,1.0,,,8297.0,,27.0,1.0,5576.0,906.0,,,,,,,,,,,1.0,,,,3.0,3481.0,51.0,,,,,,,,3.0,,,220.0,,,,,,,,,,,,1853.0,,,,,,,,,,,10683.0,10585.0,,264.0,96.0,,,,34.0,,673.0,,,494.0,,1.0,,,422.0,,48.0,,,,,11336.0,,,,3551.0,,,,,263.0,1635.0,,,197.0,,4.0,,1662.0,38.0,,,77678.0,,,,1408.0,,,,,,,,,838.0,30.0,,315.0,83.0,,,,,,,,,2.0,,,,6.0,4183.0,,,,,,,,6608.0,1120.0,,,,,2.0,,414.0,,263.0,
1979,,,,,,,1.0,,,915.0,,,,2154.0,39.0,,,,,,,,,,,,,85.0,3.0,16.0,5515.0,5.0,,,,,,,,,,,2513.0,,,267.0,,,,8.0,,5.0,,,1783.0,,,,,,,,,,,18817.0,5073.0,,1856.0,,,8.0,141.0,11.0,,1070.0,,,,,3.0,,,438.0,,46.0,,,,,,,,,874.0,,4564.0,,,,502.0,,,293.0,,5.0,,22.0,50.0,,,57645.0,,,,1268.0,,,,,,,,,5.0,23.0,845.0,103.0,10.0,,,,,,,,1.0,,,689.0,,,1788.0,,,,,,,,2559.0,940.0,,,,,365.0,,1953.0,2.0,12.0,
1980,,,,,,,2.0,,,2039.0,1.0,3.0,,,,,,,,,,,,,,,,88.0,,229.0,1051.0,,,,,,,,4.0,,,,614.0,,,4.0,,,,1.0,,,6.0,,260.0,,,,,,,,,,,5541.0,8344.0,,1599.0,,,,,23.0,,2808.0,,,,145.0,,,,2690.0,,104.0,,,,,,,,,1018.0,,1212.0,,,,97.0,,,138.0,,,,1.0,,,,42776.0,,,,836.0,,,170.0,,,,,,30.0,2.0,17.0,,18.0,,,,,,,,,,,,,,4331.0,,,,,,,,5196.0,1539.0,,,,,978.0,1.0,720.0,859.0,57.0,
1981,,,,,,,2.0,,,582.0,,2.0,,,,,,,,,,,,,,2.0,,,,243.0,2379.0,,,,,,,,4.0,,,,,,,,,,1.0,20.0,,7.0,12.0,,943.0,,,,,,,,,,,18354.0,4681.0,,6034.0,,,,870.0,19.0,,2424.0,,,,,8.0,,,1582.0,,574.0,,,,,,,,,28.0,,1753.0,,,261.0,469.0,,7.0,107.0,,2.0,,24.0,,,,51631.0,4.0,,,864.0,,1.0,,,,,,,24.0,13.0,,428.0,34.0,,,,,,,,,238.0,,,,,39.0,,,,,,,,4241.0,,,,,,157.0,,,4180.0,14.0,
