Date,ABW,AFG,AGO,ALB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1995,,,,,24.98026,26.500557,,,,13.679,8.91,,,10.18,,,,3.21,,,,,,,,0.5596937,,,,,,19.975483,,,2.999,,,,,,,,,,,,0.0,0.48,41.1,,,3.63,,,,30.45,,,3.75,0.26,,6.63,,,3.84,,,63.74,,,,,,,,0.08,,,,,,,,0.88,,5.21,20.66654,29.434,5.16,46.59964,,,,47.0,,,201.16463,5.4543085,,,,,,29.21782,,,,,,,,,0.23,0.15,0.53,,,,,,22.397768,0.0,,0.0,,,,,,,,,25.4465,,,,,,,42.01,0.19,,,,,,2034.872,,,,,,0.26,,,0.0,,,,,15.97,353.54422,,49.80836,,,,,,,,,,0.35,,,,2.38,0.01,0.85,,,,,,,33.863262,,,,,,,16.58,5.844309,,,32.73,,533.3956,,,,,,0.748,,,,0.0,,
1996,,,,,26.569994,32.545494,,,,11.9355,9.4,,,11.01,,,,2.98,,,,,,,,0.97414684,,,,,,18.621506,,,2.828,,,,,,,,,,,,0.0,1.04,45.56,,,5.68,,,,31.5135,,,6.79,0.29,,8.51,,,4.12,,,84.09,,,,,,,,0.08,,,,,,,,1.31,,6.37,21.85554,32.024,6.29,49.09435,,,,50.19,,,212.91621,4.764126,,,,,,34.765663,,,,,,,,,0.65,0.19,0.52,,,,,,21.168264,0.0,,0.0,,,,,,,,,32.954372,,,,,,,47.08,0.28,,,,,,2100.1453,,,,,,0.32,,,0.0,,,,,16.71,364.11108,,49.518642,,,,,,,,,,0.51,,,,2.34,0.01,0.68,,,,,,,36.433346,,,,,,,17.17,6.228967,,,33.28,,489.30707,,,,,,1.097,,,,0.0,,
1997,,,,,28.461369,32.188454,,,,12.18,8.47,,,11.54,,,,1.88,,,,,,,,1.177,,,,,,22.826344,,,8.077,,,,,,,,,,,,0.0,1.15,48.1,,,6.78,,,,32.6795,,,18.17,0.26,,6.88,,,4.9,,,110.96,,,,,,,,0.33,,,,,,,,1.17,,5.74,29.61548,40.179,6.57,58.89237,,,,61.29,,,219.67732,4.225723,,,,,,42.00233,,,,,,,,,0.49,0.18,1.25,,,,,,23.121218,0.0,,0.0,,,,,,,,,41.576256,,,,,,,50.66,0.24,,,,,,2270.331,,,,,,0.22,,,0.09,,,,,10.08,356.86755,,52.91071,,,,,,,,,,0.56,,,,2.33,0.01,0.66,,,,,,,44.573673,,,,,,,22.09,8.970672,,,31.02,,515.4824,,,,,,1.973,,,,0.0,,
1998,,,,,33.389267,34.2626,,,,14.4675,8.87,,,15.04,,,,2.01,,,,,,,,1.321,,,,,,26.423763,,,6.092,,,,,,,,,,,,0.0,1.29,50.74,,,8.13,,,,32.5295,,,16.21,0.27,,8.82,,,4.97,,,117.8,,,,,,,,1.71,,,,,,,,1.34,,7.32,31.07327,50.175,6.43,71.75509,,,,70.88,,,230.09956,4.073196,,,,,,27.876673,,,,,,,,,0.28,0.19,1.08,,,,,,30.022326,0.0,,0.0,,,,,,,,,44.719265,,,,,,,51.06,0.22,,,,,,2407.8464,,,,,,0.31,,,2.02,,,,,10.16,346.50375,,53.600597,,,,,,,,,,0.52,,,,2.35,0.11,0.53,,,,,,,49.02113,,,,,,,24.85,14.28317,,,29.2,,571.2442,,,,,,3.437,,,,0.0,,
1999,,,,,37.12318,45.732136,,,,16.123,9.29,,,19.23,,,,2.01,,,,,,,,2.6528652,,,,,,27.874624,,,4.813,,,,,,,,,,,,0.0,1.73,51.8,,,9.06,,,,37.2265,,,19.06,0.23,,9.54,,,7.7,,,142.9,,,,,,,,3.91,,,,,,,,1.23,,7.82,33.49757,59.009,6.96,77.15056,,,,86.98,,,244.68681,4.0980773,,,,,,29.912466,,,,,,,,,1.0,0.2,0.95,,,,,,32.90517,0.0,,0.0,,,,,,,,,51.128696,,,,,,,51.15,0.28,,,,,,2600.2073,,,,,,0.62,,,8.07,,,,,8.44,358.63364,,54.901634,,,,,,,,,,0.36,,,,3.05,0.17,0.45,,,,,,,53.804436,,,,,,,36.42,15.449402,,,30.25,,598.2754,,,,,,3.596,,,,0.0,,
2000,0.0,0.0,0.0,0.0,39.94,48.88,2.69,0.0,0.0,16.76,7.85,3.71,0.0,15.98,0.0,0.0,13.98,1.91,13.86,0.0,,24.36,0.0,0.0,1.85,4.07,0.03,2.52,0.0,0.0,0.0,35.83,0.86,10.45,5.77,3.04,0.0,0.0,0.0,0.0,8.25,0.0,0.0,0.0,1.31,0.0,0.0,1.69,49.2,0.0,0.0,8.77,0.0,24.58,0.0,42.19,0.0,0.0,20.18,0.6,0.0,10.13,0.0,0.0,11.51,0.0,0.23,148.08,1.35,0.0,0.0,0.0,0.0,0.0,0.03,5.92,0.0,0.0,0.0,0.0,0.0,12.24,0.0,1.57,0.0,6.6,31.93,55.96,9.26,81.56,5.99,0.0,0.01,101.36,0.0,0.74,258.5,5.52,0.0,1.47,0.0,0.0,0.0,29.66,10.65,0.0,0.0,0.0,3.4,0.0,,0.0,1.62,0.21,1.13,0.0,0.0,5.03,0.0,0.0,40.31,0.0,0.0,0.0,2.54,,0.0,0.0,0.0,0.0,0.0,0.0,55.94,0.0,0.0,0.0,9.1,0.0,0.0,51.52,0.21,0.0,0.0,9.45,7.55,0.0,2745.57,21.78,0.0,0.79,0.02,0.5,0.93,1.73,0.0,7.14,0.0,0.0,0.0,9.13,9.0,370.37,0.0,63.84,0.0,0.0,5.86,0.0,0.0,0.0,0.0,0.0,0.0,0.39,,0.0,0.0,3.34,0.29,0.48,0.0,0.0,9.36,0.0,0.0,0.0,61.09,0.22,9.85,,0.0,5.44,9.28,46.54,18.32,0.0,0.0,29.95,0.0,614.99,36.71,0.0,14.48,0.0,0.0,4.36,0.0,0.0,0.0,0.0,0.0,0.0
2001,0.0,0.0,0.0,0.0,43.17,43.26,2.79,0.0,0.0,24.5,8.75,11.27,0.0,15.78,0.0,0.0,15.23,1.91,14.62,0.0,,23.58,0.0,0.0,1.75,9.92,0.02,2.56,0.0,0.0,0.0,42.29,0.85,13.34,4.93,3.09,0.0,0.0,0.0,0.0,8.69,0.0,0.0,0.0,1.26,0.0,0.0,1.58,55.5,0.0,0.0,9.27,0.0,25.78,0.0,48.47,0.0,0.0,23.36,0.6,0.0,11.69,0.0,0.0,15.15,0.0,0.31,141.91,1.32,0.0,0.0,0.0,0.0,0.0,0.04,6.13,0.0,0.0,0.0,0.0,0.0,12.37,0.0,1.83,0.0,8.86,33.09,55.93,9.15,89.5,5.24,0.0,0.01,104.19,0.0,0.77,256.52,5.89,0.0,1.68,0.0,0.0,0.0,33.67,10.53,0.0,0.0,0.0,3.55,0.0,,0.0,1.88,0.67,1.3,0.0,0.0,5.46,0.0,0.0,50.86,0.0,0.0,0.0,2.34,,0.0,0.0,0.0,0.0,0.0,0.0,60.11,0.0,0.0,0.0,9.55,0.0,0.0,53.77,0.24,0.0,0.0,12.16,8.02,0.0,2914.78,24.85,0.0,0.87,0.85,0.58,1.36,3.81,0.0,7.21,0.0,0.0,0.0,9.95,8.07,376.74,0.0,76.65,0.0,0.0,15.81,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,0.0,0.01,2.7,0.3,0.4,0.0,0.0,11.05,0.0,0.0,0.0,71.23,0.18,10.61,,0.0,5.61,10.19,49.71,21.25,0.0,0.0,30.36,0.0,639.13,36.89,0.0,19.68,0.0,0.0,4.42,0.0,0.0,0.0,0.0,0.0,0.0
2002,0.0,0.0,0.0,0.0,46.85,40.71,1.58,0.0,0.0,30.55,9.31,10.89,0.0,17.87,0.0,0.0,16.64,1.54,15.26,0.0,,25.07,0.0,0.0,1.88,12.41,0.01,2.68,0.0,0.0,0.0,38.83,0.89,12.92,4.19,3.57,0.0,0.0,0.0,0.0,8.18,0.0,0.0,0.0,1.22,0.0,0.0,1.61,56.3,0.0,0.0,9.59,0.0,26.99,0.48,57.45,0.0,0.0,32.39,0.53,0.0,11.63,0.0,0.0,18.37,0.0,0.33,152.28,0.41,0.0,0.0,0.0,0.0,0.0,0.05,7.06,0.0,0.0,0.0,0.0,0.0,12.19,0.0,2.53,0.0,10.74,29.26,62.88,10.83,98.04,4.48,0.0,0.03,99.41,0.0,0.68,252.76,6.23,0.0,1.73,0.0,0.0,0.0,42.93,8.0,0.0,0.0,0.0,3.7,0.0,,0.0,2.11,2.62,1.31,0.0,0.0,5.27,0.0,0.0,69.6,0.0,0.0,0.0,2.29,,0.0,0.0,0.0,0.0,0.0,0.0,60.01,0.0,0.0,0.0,13.31,0.0,0.0,55.28,0.2,0.0,0.0,10.15,8.47,0.0,3104.81,27.01,0.0,1.1,8.77,0.58,2.2,3.02,0.0,9.04,0.0,0.0,0.0,10.94,8.97,384.77,0.0,86.51,0.0,0.01,18.67,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,0.0,0.01,2.51,0.29,0.56,0.0,0.0,12.77,0.0,0.0,0.0,78.91,0.14,10.7,,0.0,5.61,10.55,52.53,27.07,0.0,0.0,30.49,0.0,691.01,36.71,0.0,18.97,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0
2003,0.0,0.0,0.0,0.0,49.45,47.75,1.52,0.0,0.0,30.15,11.16,11.22,0.0,21.61,0.0,0.0,17.62,1.76,15.7,0.0,,25.51,0.0,0.0,2.25,13.11,0.01,3.17,0.0,0.0,0.0,38.73,0.93,16.58,5.16,3.26,0.0,0.0,0.06,0.0,6.83,0.0,0.0,0.0,1.61,0.0,0.0,1.58,62.59,0.0,0.0,9.76,0.91,28.62,0.94,64.02,0.0,0.0,39.37,0.5,0.0,13.85,0.0,0.0,19.37,0.0,0.35,148.88,0.56,0.0,0.0,0.0,0.0,0.0,0.05,8.02,0.0,0.0,0.0,0.0,0.0,7.65,0.0,2.06,0.0,11.88,27.95,72.8,13.04,109.85,2.96,0.0,0.03,117.3,0.0,0.75,273.1,6.82,0.0,1.47,0.0,0.0,0.0,45.51,9.8,0.0,0.0,0.0,3.86,0.0,,0.0,2.52,2.62,1.53,0.0,0.0,5.39,0.0,0.0,80.58,0.0,0.0,0.0,2.68,,0.0,0.0,0.0,0.0,0.0,0.0,60.39,0.0,0.0,0.0,12.74,0.0,0.0,55.02,0.3,0.0,0.0,9.71,8.78,0.0,3255.5,39.21,0.0,1.32,13.14,0.54,2.42,3.15,0.0,7.74,0.0,0.0,0.0,12.01,9.7,406.82,0.0,91.36,0.0,0.05,21.45,0.0,0.0,0.0,0.0,0.0,0.0,0.54,,0.0,0.01,2.4,0.37,0.73,0.0,0.0,15.27,0.0,0.0,0.0,85.69,0.17,10.8,0.0,0.0,6.42,10.99,63.54,29.29,0.0,0.0,34.24,0.0,649.91,34.4,0.0,16.17,0.0,0.0,12.04,0.0,0.0,0.0,0.0,0.0,0.0
2004,0.0,0.0,0.0,0.0,52.41,55.21,1.61,0.0,0.0,27.36,10.95,12.84,0.0,20.04,0.0,0.0,22.47,1.49,16.15,0.0,,29.66,0.0,0.0,2.28,19.26,0.01,3.23,0.0,0.0,0.0,40.44,0.94,16.64,7.46,3.65,0.0,0.0,0.07,0.0,7.01,0.0,0.0,0.0,1.87,0.0,0.0,1.54,62.67,0.0,0.0,9.94,0.74,30.31,1.24,74.45,0.0,0.0,55.46,0.49,0.0,12.75,0.0,0.0,21.05,0.0,0.32,157.06,0.77,0.0,0.0,0.0,0.0,0.0,0.07,8.99,0.0,0.0,0.0,0.0,0.0,11.22,0.0,2.46,0.0,11.72,26.76,76.58,12.9,114.61,1.9,0.0,4.34,129.84,0.0,4.49,257.86,7.15,0.0,1.61,0.0,0.0,0.0,63.18,11.43,0.0,0.0,0.0,3.83,0.0,,0.0,2.69,3.15,1.43,0.0,0.12,5.44,0.0,0.0,92.37,0.0,0.0,0.0,2.76,,0.0,0.01,0.0,0.0,0.0,0.0,63.88,0.0,0.0,0.0,16.17,0.0,0.0,59.99,0.37,0.0,0.0,6.86,9.43,0.0,3503.08,43.47,0.0,2.33,12.38,0.59,3.22,2.94,0.0,11.69,0.0,0.0,0.0,13.23,10.46,422.56,0.0,98.74,0.0,0.06,25.33,0.0,0.0,0.0,0.0,0.0,0.0,0.68,,0.0,0.01,2.42,0.36,0.78,0.0,0.0,13.21,0.0,0.0,0.0,90.29,0.15,11.92,0.0,0.0,6.4,11.59,62.27,37.2,0.41,0.0,37.52,0.0,710.1,37.67,0.0,16.12,0.0,0.0,19.53,0.0,0.0,0.0,0.0,0.0,0.0
2005,0.0,0.0,0.0,0.0,60.7,55.7,1.83,0.0,0.0,23.26,13.03,13.99,0.0,21.5,0.0,0.0,23.99,1.73,19.37,0.0,,29.98,0.0,0.0,2.83,18.81,0.01,3.23,0.0,0.0,0.0,36.88,0.87,13.6,12.14,4.13,0.0,0.0,0.08,0.0,7.4,0.0,0.0,0.0,1.94,0.0,0.0,1.47,72.19,0.0,0.0,8.78,1.11,32.64,1.48,76.79,0.0,0.0,79.01,0.54,0.0,11.23,0.0,0.0,23.07,0.0,0.33,152.64,0.87,0.0,0.0,0.0,0.0,0.0,0.08,8.17,0.0,0.0,0.0,0.0,0.0,11.2,0.0,1.82,0.0,12.38,21.7,75.47,11.57,124.58,10.0,0.0,5.63,149.33,0.0,5.3,253.09,7.26,0.0,0.65,0.0,0.0,0.0,64.49,10.97,0.0,0.0,0.0,5.98,0.0,,0.0,3.02,3.11,1.49,0.0,1.95,5.6,0.0,0.0,86.48,0.0,0.0,0.0,2.4,0.0,0.0,0.01,0.0,0.0,0.0,0.0,63.89,0.0,0.0,0.0,15.77,0.0,0.0,57.6,0.38,0.0,0.0,9.26,10.65,0.0,3680.54,41.29,0.0,4.55,16.86,0.56,5.16,3.12,0.0,13.61,0.0,0.0,0.0,14.4,9.61,440.07,0.0,107.93,0.0,0.06,28.43,0.0,0.0,0.0,0.0,0.0,0.0,0.32,,0.0,0.01,2.18,0.34,0.6,0.0,0.0,14.08,0.0,0.0,0.0,94.47,0.12,12.82,0.0,0.0,7.02,12.27,73.48,40.1,1.15,0.0,34.16,0.0,760.96,33.63,0.0,14.34,0.0,0.0,22.32,0.0,0.0,0.0,0.09,0.0,0.0
2006,0.0,0.0,0.0,0.0,62.44,56.4,1.48,0.0,0.0,27.29,10.67,15.91,0.0,21.99,0.0,0.0,26.85,2.16,20.53,0.0,,30.21,0.0,0.0,2.78,18.26,0.02,3.27,0.0,0.0,0.0,40.42,0.79,11.44,23.82,4.02,0.0,0.04,0.08,0.0,7.38,0.0,0.0,0.0,2.23,0.0,0.0,1.57,74.73,0.0,0.0,9.4,1.73,34.26,1.79,83.06,0.0,0.0,90.57,0.54,0.0,12.32,0.0,0.0,21.76,0.0,0.33,140.83,2.15,0.0,0.0,0.0,0.0,0.0,0.09,10.61,0.0,0.0,0.0,0.0,0.0,11.81,0.0,2.06,0.0,13.16,23.95,74.7,13.79,125.12,14.18,0.0,9.09,158.14,0.0,7.81,280.04,8.0,0.0,0.7,0.0,0.0,0.0,74.84,14.95,0.0,0.0,0.0,9.8,0.0,,0.0,2.46,3.25,2.1,0.0,2.43,5.7,0.0,0.0,116.06,0.0,0.0,0.0,2.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,67.39,0.0,0.0,0.0,16.85,0.0,0.0,57.14,0.47,0.0,0.0,9.61,11.29,0.0,3900.59,35.81,0.0,4.83,16.37,0.54,4.58,3.38,0.0,12.34,0.0,0.0,0.0,17.08,11.83,455.25,0.0,104.55,0.0,0.05,30.72,0.0,0.0,0.0,0.0,0.0,0.0,0.12,,0.0,0.01,1.91,0.37,0.6,0.0,0.0,14.36,0.0,0.0,0.0,94.44,0.23,13.65,0.0,0.0,7.13,11.94,80.69,41.3,1.3,0.0,24.45,0.0,816.44,39.76,0.0,14.89,0.0,0.0,24.5,0.0,0.0,0.0,0.02,0.0,0.0
