Date,AGO,ARG,ARM,AUS,AUT,BDI,BEL,BEN,BFA,BGR,BHR,BOL,BRA,BRB,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COL,CRI,CYP,CZE,DEU,DNK,DOM,ECU,EGY,ESP,EST,FIN,FJI,FRA,GAB,GBR,GRC,GTM,HKG,HND,HRV,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KOR,KWT,LAO,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MEX,MLT,MNG,MOZ,MRT,MUS,MYS,NAM,NER,NGA,NIC,NLD,NOR,NZL,PAN,PER,PHL,POL,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLE,SRB,SVK,SVN,SWE,SWZ,TGO,THA,TJK,TTO,TUN,TUR,TWN,TZA,UKR,URY,USA,VEN,ZAF,ZMB,ZWE
1964,,,,0.81066525,0.6614151,,0.68296945,,0.9268886,,,1.2713373,1.0944539,0.9157176,0.9022716,,0.8749666,0.8800794,1.1882908,0.8948243,1.1920931,1.4699355,1.0647838,1.1263516,0.46239942,,0.5612817,0.7085985,1.2401505,0.8854172,1.5298606,0.7443031,,0.526018,,0.6177807,1.300927,0.7968633,0.94563365,1.0510427,0.62359494,,,,0.89142084,0.6708359,0.46544415,3.891483,,0.62542886,0.7399338,0.85801077,1.2753437,2.9219005,0.6720971,,1.2577837,,0.43861645,,,0.7853395,,,0.9857169,,,1.0987345,,1.551466,,,,,0.8114017,1.3426138,1.3052388,1.1800194,0.900104,,0.653388,0.62708735,1.0477568,,1.4978709,1.1629785,,0.9028558,1.0543696,,0.67911094,,0.7436307,,,1.14282,1.0177275,,,,,0.7221388,,,0.44534189,,1.3744165,0.64616036,1.3653398,0.34756994,0.9568906,,0.8044273,0.74438596,2.8733265,1.135191,0.66408235,0.6335647
1965,,,,0.79532254,0.6671783,,0.6964883,,0.89128834,,,1.2750942,1.1222203,0.96646947,0.8576488,,0.8883371,0.89301574,1.1502883,0.9453945,1.0632197,1.4665877,1.0389441,1.1815671,0.53530407,,0.57663316,0.70569694,1.0648776,0.8773833,1.507426,0.76541567,,0.53306574,,0.63258576,1.3766607,0.79194444,1.0140611,1.0488236,0.6566443,,,,0.8868167,0.63292104,0.46138525,4.0432835,,0.63574857,0.6879574,0.89626986,1.2861158,3.0142238,0.67752093,,1.271434,,0.42419603,,,0.77924407,,,0.95526797,,,1.066172,,1.5341388,0.4950641,,,,0.78292245,1.3664109,1.2838709,1.2318163,0.7982602,,0.67141575,0.65078187,1.0627822,,1.5236131,1.1813254,,0.93736136,1.079578,,0.7116565,,0.7403098,,,1.1597543,1.0293416,,,,,0.7291256,,,0.4523617,,1.299897,0.64681494,1.3397069,0.3746282,0.9376316,,0.80328673,0.756097,2.9023483,1.148697,0.71399814,0.662248
1966,,,,0.8053593,0.69085777,,0.7032958,,0.8711352,,,1.3100672,1.1148415,0.95173293,0.87243015,,0.9109983,0.8984595,1.2067264,0.92018193,1.0911834,1.4641602,1.0500546,1.1918536,0.5520251,,0.57954836,0.7019131,1.1263102,0.8641886,1.4272714,0.78698695,,0.538592,,0.64585894,1.2864941,0.7955039,1.050373,1.067946,0.629487,,,,0.896038,0.6126965,0.45151243,4.094946,,0.65968,0.7153208,0.9338224,1.2652893,2.897233,0.70299625,,1.3677026,,0.44712386,,,0.7812931,,,0.9291973,,,1.0512491,,1.5270052,0.52373135,,,,0.7517124,1.3897775,1.2768105,1.2098693,0.72753185,,0.67202806,0.6575757,1.0666623,,1.5905801,1.1502392,,0.94179845,1.0212812,,0.7189305,,0.7174832,,,1.1951383,1.0704496,,,,,0.7292587,,,0.47538096,,1.365116,0.64415336,1.4129004,0.38735446,0.9599007,,0.8413655,0.76762307,2.7945986,1.1639435,0.77439785,0.6458
1967,,,,0.81063527,0.7067951,,0.72165465,,0.93763673,,,1.3793496,1.1333568,1.054699,0.9802222,,0.90798223,0.90377414,1.2355995,0.8856868,1.0669107,1.2630627,1.0489492,1.2121254,0.60474735,,0.58207,0.7311865,1.1090508,0.8909642,1.4052829,0.78667873,,0.5482681,,0.66565555,1.4375615,0.79986006,1.0832274,1.0750645,0.60860604,,,,0.9029408,0.65184134,0.4642565,4.176314,,0.6377458,0.7022367,0.96131575,1.2455827,2.9632728,0.730557,,1.3873235,,0.4376652,,,0.82149065,,,0.9312671,,,1.0480353,,1.5174073,0.5379016,,,,0.79433924,1.3708711,1.2215592,1.219865,0.62578803,,0.6959197,0.68130404,0.97867054,,1.5969514,1.1403472,,0.9865982,1.0554216,,0.77460176,,0.79071134,,,1.1714985,1.1174761,,,,,0.7547526,,,0.48642957,,1.3679883,0.6280438,1.4051033,0.39750847,0.9612967,,0.81159276,0.76424193,2.82842,1.2076288,0.8626668,0.637556
1968,,,,0.8335549,0.7301489,,0.7455639,,0.96436924,,,1.1598358,1.2020451,1.0879508,1.0077212,,0.9466912,0.9148595,1.1994123,0.82329077,1.151226,1.3088311,1.0665426,1.2644527,0.6177694,,0.60019547,0.7609215,1.0612336,0.88957065,1.4451578,0.81609654,,0.55585927,,0.6825628,1.4477346,0.83699393,1.1321212,1.1138775,0.60695964,,,,0.9466944,0.6722227,0.4901067,4.247907,,0.59546775,0.69827884,1.0018066,1.2261814,2.659497,0.7650944,,1.3339438,,0.43908292,,,0.8223161,,,0.9653411,,,1.0170964,,1.5496327,0.5615618,,,,0.6811693,1.4000738,1.1926254,1.2226162,0.61850595,,0.72422606,0.69218034,0.9629205,,1.5687022,1.1524705,,1.0895914,1.0201426,,0.7858196,,0.78883857,,,1.2331935,1.1769124,,,,,0.76803786,,,0.49683565,,1.4385204,0.6624101,1.4236696,0.40430424,0.9781557,,0.81916434,0.7743717,2.967094,1.2210002,0.85161,0.54785794
1969,,,,0.85732687,0.76286566,,0.7706887,,0.9584739,,,1.1665375,1.1991282,1.1428534,0.9521308,,0.9621388,0.937555,1.1815536,0.8588475,1.1529385,1.3168894,1.0862727,1.2755109,0.64755106,,0.62641466,0.78939897,1.1054354,0.8778191,1.5032953,0.85866976,,0.5940745,,0.72003186,1.5583115,0.8104163,1.2146702,1.1286317,0.65079427,,,,0.92955536,0.7313335,0.5039645,4.424019,,0.60392267,0.7693469,1.0382264,1.2310791,2.5772245,0.80843896,,1.3629888,,0.4639439,,,0.8473982,,,1.035714,,,1.1336864,,1.5238128,0.56464916,,,,0.70019066,1.4108534,1.201672,1.1438226,0.6912986,,0.7257544,0.72154063,1.0332056,1.1891774,1.5910628,1.1719896,,1.1002733,1.0164515,,0.7986624,,0.862412,,,1.1347569,1.2158005,,,,,0.7911862,,,0.5074415,,1.4459554,0.67131126,1.4314994,0.41281018,0.9333669,,0.85314417,0.76910657,2.9980574,1.2361314,0.7531256,0.7157094
1970,,,,0.851232,0.8089847,,0.80707216,,0.9629739,,,1.137606,1.2535175,1.2236431,0.9360725,,0.9797159,0.96299416,1.1893562,0.92442983,1.184471,1.3422385,1.101944,1.3204815,0.6461368,,0.6376641,0.78166956,1.2458605,0.91341025,1.7200654,0.85654414,,0.61284786,,0.7409127,1.6712902,0.8188219,1.2798339,1.1620135,0.6794964,1.2939248,,,0.97530746,0.7396621,0.4996653,2.5681834,,0.62837815,0.8374873,1.1257318,1.3816345,2.1591325,0.8352339,,1.2591841,,0.4873833,,,0.87503237,,,1.0146228,,,1.1452162,,1.5392556,0.61442137,,,,0.7060176,1.4157456,1.2412575,1.1979736,0.78445923,,0.7482808,0.7159485,1.0072488,1.3291365,1.6127852,1.181561,,1.1290585,1.0503646,,0.8322395,,0.8967254,,,1.2178446,1.2309428,,,,,0.81411153,,,0.6645676,,1.4876212,0.8550005,1.4176457,0.4269645,0.9059814,,0.8735897,0.76486903,3.1746795,1.2657057,0.7263774,0.869084
1971,,,,0.85883355,0.82000697,,0.8184991,,0.88217336,,,1.1621125,1.3065034,1.2690123,0.9669345,,0.99019194,0.97154486,1.201972,0.93936896,1.2134106,1.3370633,1.109927,1.3159808,0.70217174,,0.6465252,0.7976468,1.3006711,0.9222269,1.7326876,0.8665953,,0.6181649,,0.75551003,1.7799021,0.84245926,1.3151084,1.1676178,0.68976074,1.2973653,,,1.000504,0.7202572,0.4976186,2.769985,,0.6731516,0.87258893,1.117555,1.4018269,2.0540042,0.82689244,,1.2664447,,0.5089712,,,0.8375515,,,0.9722433,,,1.1297022,,1.5105047,0.60697395,,,,0.69968307,1.580603,1.2444645,1.2582358,0.87377316,,0.76892716,0.73556083,1.0046396,1.3412977,1.5981346,1.151312,,1.1332356,1.064051,,0.89170253,,0.8754984,,,1.1879528,1.1935081,,,,,0.8153301,,,0.65449876,,1.4287041,0.9012431,1.4233569,0.44783732,0.8751796,,0.8610293,0.78002733,3.0398357,1.2769223,0.6969264,0.9159798
1972,,1.183913,,0.86130655,0.83335084,,0.8524543,,1.0349894,,,1.1964536,1.3663099,1.27679,0.99884427,,1.0011282,0.9789651,1.1323003,0.87880176,1.1879772,1.3394603,1.141972,1.3270456,0.72037673,,0.66252494,0.81551015,1.3412757,0.920069,1.7524974,0.9010753,,0.6463777,,0.77727675,1.8943433,0.85297847,1.3715886,1.1931,0.7191485,1.3247521,,,1.0378925,0.6866667,0.5178682,2.938511,,0.69406444,0.90961605,1.1235255,1.5034913,2.0497167,0.84952945,,1.2676357,,0.51287186,,,0.8235069,,,0.9767029,,,1.1329768,,1.5374948,0.61673826,,,,0.7244757,1.5705972,1.2109519,1.1758893,0.9023598,,0.77737385,0.7605653,1.0220568,1.2703359,1.5736088,1.1746428,,1.1682088,1.0800874,,0.93055815,,0.8374952,,,1.2261078,1.1693527,,,,,0.8259655,,,0.6617232,,1.4641058,0.9945726,1.4375927,0.46849507,0.87661415,,0.8398683,0.7922607,2.9158454,1.2534504,0.73141026,0.9575307
1973,,1.190713,,0.8673966,0.845414,,0.88668615,,0.9340455,,,1.2107216,1.4021478,1.2864339,1.0265498,,1.0109904,0.9907864,1.0418957,0.8934291,1.1706252,1.359118,1.1656526,1.3358097,0.7130907,,0.68245834,0.83532697,1.4131447,0.9960635,1.6629772,0.9255409,,0.6666057,,0.799443,1.9854264,0.87770593,1.3999481,1.2098559,0.76325166,1.3663082,,,1.0795304,0.6818995,0.5183709,2.917225,,0.7096817,0.8949435,1.156008,1.480106,1.8053014,0.8664915,,1.2659857,,0.5459726,,,0.81702185,,,1.0072649,,,1.1577411,,1.5563811,0.61466146,,,,0.7708764,1.5874137,1.2041006,0.9549103,0.9151716,,0.81091815,0.7752935,1.0591805,1.2359359,1.5787498,1.1917534,,1.2424777,1.0873489,,0.975508,,0.8290285,,,1.1287622,1.1768105,,,,,0.84183794,,,0.663869,,1.4510796,0.94725406,1.4018883,0.47716215,0.85646296,,0.83837265,0.8031154,2.8641644,1.266135,0.69077677,0.94745135
1974,1.3220024,1.2032404,,0.8490774,0.82656986,,0.9025693,,0.94049156,1.3724557,2.7579026,1.2145561,1.429174,1.2310858,1.020542,,0.98735577,0.9967497,1.0372732,0.8650343,1.1591568,1.3658639,1.175293,1.3322636,0.6499684,,0.6872624,0.81842256,1.4140558,1.0605549,1.6289853,0.93773186,,0.6686891,,0.81430715,2.3680267,0.84094775,1.2682956,1.2350854,0.7419561,1.295354,,0.74343234,1.0964556,0.66361684,0.5266996,2.8475916,1.5420848,0.71475464,0.92311156,1.1794024,1.3824111,1.705685,0.8420798,,1.2644731,,0.5561611,9.396631,,0.8123,,,0.9991516,,,1.1761961,,1.5413815,0.64941686,,,,0.80587345,1.5435803,1.2442526,1.0274872,1.0004592,,0.8454835,0.78462255,1.063443,1.1813773,1.6116298,1.1852468,0.86249995,1.1569151,1.1093394,3.991086,1.0384113,,0.8092008,7.8829393,0.8768433,1.1526908,1.1327904,,,,,0.84576565,,,0.6540372,,1.4160177,0.9816893,1.3604456,0.45773053,0.8412194,,0.8623209,0.781339,2.8300927,1.3096715,0.6939104,0.93938535
1975,1.2072419,1.1640573,,0.8637245,0.82737094,,0.8836678,,0.93083066,1.4058763,2.3752525,1.2637844,1.4177021,1.2891916,1.0357811,,0.9816587,0.94188184,0.89036685,0.86702627,1.1899793,1.3821791,1.1407472,1.2836518,0.5444339,,0.6869528,0.8227785,1.4061674,1.1203403,1.5993617,0.92320585,,0.66742337,,0.7981359,2.406566,0.8232994,1.3097152,1.2082912,0.7026274,1.2722199,,0.76759195,1.0955796,0.69739443,0.54771537,2.5337086,1.5228906,0.7013879,0.9181963,1.128697,1.3510981,1.6015387,0.85018307,,1.2190074,,0.56456536,6.9956183,,0.8045781,,,0.9020932,,,1.164158,,1.513285,0.7430426,,,,0.7760429,1.4314243,1.2326219,0.9918486,0.95702,,0.8538805,0.7961889,1.0094236,1.1771712,1.5994453,1.1614078,0.88234836,1.0568978,1.1323624,3.752501,1.0762346,,0.7605604,6.321533,0.96602136,1.1999391,1.1056858,,,,,0.8477383,,,0.65948266,,1.3675756,1.0555091,1.358783,0.4628209,0.8561257,,0.8988696,0.7822135,2.7564313,1.2970598,0.6698574,0.9208665
1976,1.102046,1.1343141,,0.86779875,0.8442085,,0.91380787,,0.88952947,1.4109931,2.7023432,1.271647,1.4707087,1.2711749,1.0999657,,1.0127993,0.9357923,0.89581996,0.79403573,1.2431493,1.2586378,1.1419011,1.2651653,0.6439853,,0.7039145,0.8411626,1.4158543,1.1428384,1.6303267,0.9337839,,0.6600657,,0.7998071,2.6976326,0.8366246,1.3512176,1.2125257,0.7661674,1.3411369,,0.76968396,1.1173688,0.68029547,0.54276484,2.601053,1.6004262,0.719096,0.88936657,1.1705378,1.260451,1.7030499,0.8465066,,1.2083851,,0.58288234,6.146391,,0.79674524,,,0.9042442,,,1.1209719,,1.4858718,0.8179136,,,,0.8918531,1.4748588,1.2045333,0.9816255,0.95598537,,0.8842553,0.81551325,1.0006945,1.1297079,1.5547836,1.2026244,0.9239928,1.0904372,1.1273035,3.7319632,1.1316338,,0.8655443,6.105607,1.0830973,1.267719,1.0996442,,,,,0.83376515,,,0.6873392,,1.3391994,1.0549846,1.3786331,0.49400026,0.86120605,,0.90007275,0.7975781,2.7660472,1.2853408,0.6776905,0.8871488
1977,1.0703746,1.1508446,,0.8543766,0.857163,,0.91053337,,0.9203068,1.4143505,2.6649861,1.2879514,1.4154519,1.3211223,1.1690052,,1.022566,0.9571784,0.94945645,0.79583347,1.1903075,1.3480577,1.1346009,1.2760984,0.68674046,,0.71705544,0.8499902,1.4004444,1.0997655,1.6042165,0.94604665,,0.66042095,,0.81565005,2.0849967,0.83941877,1.3435514,1.2212027,0.79013205,1.4025958,,0.7922758,1.1394374,0.69816047,0.5641977,2.2968316,1.4689177,0.77180815,0.8634554,1.1795367,1.2280151,1.6892946,0.85006994,,1.2510089,,0.60119444,4.7081923,,0.78631926,,,0.9033354,,,1.1007966,,1.4594867,0.866272,,,1.233379,0.89542836,1.4583337,1.1608729,1.0343062,0.9676812,,0.8939303,0.8216976,0.95002544,1.1196549,1.513237,1.1936643,0.95511323,1.1019585,1.1501397,3.1266375,1.1406316,,0.8655578,5.4856534,1.1135192,1.2070668,1.1129208,,,,,0.8157101,,,0.7122388,,1.3497556,1.0254495,1.3461512,0.50637275,0.8183778,,0.87556684,0.8028969,2.633501,1.2512183,0.6498148,0.8091613
1978,0.98170304,1.0842355,,0.8662713,0.8536721,,0.91940945,,0.9914191,1.4060202,2.5127616,1.2483807,1.4065123,1.3725827,1.2491167,,1.0163087,0.95222765,0.99400747,0.83379304,1.1906294,1.5222373,1.178792,1.262977,0.69591427,,0.72465986,0.85568345,1.3501194,1.0963185,1.5796156,0.965168,,0.67330635,,0.8363679,1.5264959,0.85594577,1.3894271,1.195229,0.78548616,1.448439,,0.7975452,1.1157598,0.7066144,0.5814867,1.868451,1.5213803,0.79710275,0.8636193,1.1878736,1.2148504,1.7967913,0.8604908,,1.281972,,0.5993536,4.3450785,,0.8102703,,,0.92461073,,,1.0394826,,1.4867288,0.914564,,,1.1287498,0.87573165,1.4242544,1.1515735,1.1407994,0.9143765,,0.9028889,0.83469933,0.9116252,1.1562748,1.4376131,1.1363246,0.9572525,1.0928277,1.171507,3.1239603,1.1298264,,0.90185386,4.3083596,1.0047065,1.1005586,1.1092308,,,,,0.8306149,,,0.7109545,,1.3564377,1.0225631,1.325513,0.5319695,0.782857,,0.8827065,0.8076195,2.3941958,1.2555451,0.6375011,0.77001005
1979,0.95546246,1.1219692,,0.86299145,0.86822736,,0.92145866,,0.9230831,1.4243305,2.3355274,1.2032627,1.4640774,1.3585674,1.3343568,,0.9980386,0.9646875,1.0322326,0.8448826,1.1283363,1.5219232,1.1890548,1.2364845,0.7164316,,0.7357591,0.87077117,1.3297007,1.0793136,1.5542185,0.9752211,,0.70555186,,0.84589696,1.4649429,0.8683659,1.3787168,1.177785,0.81329095,1.4352503,,0.78418523,1.113227,0.6420606,0.5653114,1.5991408,1.6771672,0.8183747,0.8803818,1.2182535,1.201405,2.009152,0.87180436,,1.2584848,,0.60067105,4.453941,,0.8125871,,,0.92736596,,,1.0407444,,1.5051401,0.9560438,,,1.2215923,0.86194146,1.4157193,1.1581988,1.184485,0.8685284,,0.902937,0.85160434,0.925171,1.1430053,1.4472313,1.1308237,0.96276003,1.112145,1.1879919,3.076287,1.1257614,,0.9349173,4.15874,0.92149824,1.1695994,1.1217026,,,,,0.84506917,,,0.7093269,,1.3188969,1.0236589,1.2698048,0.5306956,0.7701281,,0.8930965,0.8016281,2.2887409,1.2719629,0.6093524,0.7788791
1980,0.9557012,1.1062702,,0.8535888,0.85871387,1.3791248,0.94987386,0.68155134,0.88887817,1.4278347,2.1880171,1.1658382,1.5472062,1.406091,1.3797559,1.1295581,0.9815204,0.9857416,1.0454146,0.8315468,0.9537637,1.6074063,1.1851602,1.1894073,0.7147913,,0.73195505,0.8515503,1.3636477,1.0674641,1.518714,0.9969785,,0.7362429,0.9690412,0.8441098,1.4489547,0.8500968,1.3409854,1.16648,0.80580753,1.3795019,,0.7705375,1.1241232,0.6578562,0.5739617,1.2231716,1.5397545,0.8309371,0.8808471,1.2118546,1.1268035,2.0581973,0.8654742,,1.2702342,,0.55990106,3.226568,0.8991827,0.809546,0.49493805,,0.9105446,,1.0521253,1.0206248,,1.5048141,0.97734666,0.78153294,,1.2113885,0.7482113,1.3647592,1.1932458,1.1225762,0.83688515,1.5952467,0.9086462,0.8587438,0.9289283,1.2586535,1.4388224,1.119202,0.88186663,1.1092385,1.2073148,2.8843176,1.1105845,,0.9828314,4.020381,0.9075696,1.1050459,1.1288539,1.4837418,,,,0.8385054,0.7409481,1.0619429,0.67348653,,1.375577,1.0421042,1.2112614,0.5391197,0.7700982,,0.9078349,0.7875529,2.061798,1.3218678,0.62630576,0.842045
