Date,ALB,ARG,ARM,AUS,AUT,AZE,BEL,BGR,BIH,BLR,BOL,BRA,CAN,CHE,CHL,CHN,COD,COL,CYP,CZE,DEU,DNK,DZA,ECU,ESP,EST,ETH,FIN,FRA,GBR,GEO,GHA,GRC,HRV,HUN,IRL,IRQ,ISR,ITA,JPN,KAZ,KEN,KGZ,LBN,LSO,LTU,LUX,LVA,MAR,MDA,MEX,MKD,MNE,MNG,NLD,NOR,NZL,OWID_CZS,OWID_ERE,OWID_SRM,OWID_USS,OWID_WRL,OWID_YGS,PER,POL,PRK,PRT,ROU,RUS,SRB,SVK,SVN,SWE,SYR,TJK,TUN,TUR,UKR,URY,USA,UZB,ZAF,ZWE
1978,1.4000001,1.3520001,,1.2974001,3.4084,,,1.4969001,,,0.6434001,0.97110003,1.9797001,4.7909,1.2387,1.3971001,,2.0909,1.0696,,4.2094,3.3865001,0.60520005,1.0,1.2519001,,,2.4227002,3.6054,3.9105003,,,1.6626,,2.9966002,3.8216002,0.8,1.0,2.0234,1.8585001,,0.95710003,,1.5000001,1.4286001,,,,0.44090003,,0.93320006,,,0.41910002,5.5797005,3.7736003,3.1772,3.4492002,0.7742,,1.3822,1.7865001,1.3485,0.8292,2.4194,1.7778001,0.3616,1.1895001,,,,,3.4209,0.86340004,,0.2674,1.6444001,,0.66670007,1.8751,,1.3800001,
1979,1.4000001,1.2732,,1.2564001,2.8699,,,1.2546,,,0.69380003,0.91910005,1.9294001,4.5878,1.9082,1.6612,,2.0,1.0357,,4.0786004,4.1744003,0.6161,1.0,1.0456,,,2.8433,3.4192002,3.9913003,,,1.4288001,,2.1043003,3.7332,0.93750006,0.6,1.9442,2.1212,,1.0,,1.5000001,1.4286001,,,,0.4,,0.92750007,,,0.6007,5.2302003,4.0082,3.1740003,3.1544,1.0,,1.1071,1.6297001,1.3541,0.776,1.9978001,1.6222,0.43670005,1.0005001,,,,,3.3376002,0.8874001,,0.2185,1.6818001,,0.9933,1.9514002,,1.45,1.8830001
1980,1.5000001,1.2386,,1.0327,3.4341002,,,1.3161,,,0.758,1.0012001,2.0059001,4.7765,1.8682001,1.5467,,1.8824002,1.0942,,3.8285003,3.9731002,0.6747,1.0,1.4846001,,,2.8100002,3.6155002,4.0642,,,1.5926001,,3.2082002,3.7143002,1.0435001,0.57970005,1.9896001,2.0923002,,1.0,,1.5000001,1.4286001,,,,1.1488001,,1.5757,,,0.3975,5.1898003,3.8202002,3.3247,3.482,0.9955,,1.1829001,1.6776,1.5155001,0.63240004,2.2512,1.7442,0.5491,0.92270005,,,,,3.4699001,0.88210005,,0.24000001,1.8112,,0.85800004,1.9009001,,1.4444001,1.4844002
1981,1.5000001,1.1357,,1.1651,3.3197,,,1.3625001,,,1.1151,1.0914,2.043,4.796,1.6309001,1.6667,,1.8750001,0.90340006,,3.8381002,4.2247005,0.5746,1.0,0.9595001,,,2.3209,3.5421002,4.3056,,,1.5686,,3.0572002,3.9301002,0.8421,3.3333,1.8801,1.5510001,,1.0,,1.4925001,1.4286001,,,,0.5226,,1.1989001,,,0.2725,5.4164,3.9213002,3.5870001,2.9331002,1.3195001,,0.88180006,1.5294001,1.6031001,0.3669,2.3623002,1.6512,0.44770002,1.082,,,,,3.8283002,0.84690005,,0.2,1.8056,,0.814,1.9428002,,1.4909,1.5000001
1982,1.5000001,1.5613002,,0.69970006,3.5558002,,,1.1611,,,0.9082,0.6498,2.2548,4.4568,1.7214001,1.6190001,,1.7500001,0.9104001,,4.2086005,4.0942,0.5308,1.0,1.0043,,,2.8739,3.4696002,4.4574003,,,1.6778002,,2.4532,4.4298,0.8511,3.3333,1.6355001,1.9955001,,1.0,,1.4925001,1.4286001,,,,1.0818001,,1.0678,,,1.021,5.7426004,3.7309,3.8438003,3.0289001,0.8241,,1.312,1.7978002,1.5284001,0.238,2.4019,1.7,0.5055,1.0325,,,,,3.4859002,0.8712,,0.2,1.8857,,0.74200004,2.0722,,1.5333002,1.6
1983,1.5000001,1.4463001,,1.2957,3.5291002,,,0.874,,,1.4493002,0.9760001,1.9804001,4.6774,1.7245001,1.6539001,,1.8333001,0.87140006,,3.3585002,2.9482,0.47770002,1.0,1.0209001,,,3.1304,3.2546003,4.3148,,,1.4404001,,2.5987,4.4248,0.8276,2.6667001,1.5112001,2.0905,,1.2674,,1.5094001,1.4286001,,,,0.8996,,1.2804,,,1.0813001,4.5206003,3.4479,3.6647,3.2317002,1.0937,,1.3649001,1.6971,1.4762,0.24820001,2.2811003,1.825,0.5193,1.1373001,,,,,3.1391003,0.88030005,,0.17390001,1.8824002,,0.9318,1.886,,1.5091001,1.5000001
1984,1.5000001,1.6509001,,1.3136001,3.7701004,,,1.0550001,,,1.3539001,0.9983,1.9275001,5.0864,1.6939001,1.8838001,,1.7,1.4925001,,4.4806004,4.6738,0.5141,0.7264001,1.6439002,,,3.1555002,4.223,4.8774,,,1.5141001,,3.5625002,5.6627007,0.7692,3.3333,2.2584,2.0889,,1.2674,,1.5152,1.4286001,,,,0.8069001,,1.5893002,,,0.6901,4.8023,4.7375,3.7866004,3.7032,0.84940004,,1.3390001,1.8417001,1.6756,0.1737,2.7872,1.8750001,0.7824001,1.4087,,,,,4.4441004,0.8808,,0.17390001,1.8372,,0.97920007,2.0812001,,1.4727,1.2
1985,1.5000001,1.2012,,1.2445,3.7728002,,,1.4145001,,,1.2938001,1.1048001,2.1655002,5.229,2.0061002,1.7836001,,1.7500001,1.6598002,,4.6657004,3.9680002,0.7799001,0.9194001,1.4811001,,,2.9616003,4.0896,4.5821004,,,1.5019001,,3.0333002,4.5494003,1.0769001,2.3333,1.9974002,2.1597002,,1.0224,,1.5152,1.4286001,,,,0.7688,,1.3922,,,1.2009001,5.1642003,3.8858001,3.7877002,3.9036002,0.7386,,1.4519001,1.9137,1.6664001,0.17880002,2.6966002,1.9737,0.6255,1.2829001,,,,,3.7481003,1.0,,0.17390001,1.8827001,,0.6133,2.2827,,0.8,1.4286001
1986,1.5000001,1.5865,,1.3849001,3.6793003,,,1.4618001,,,1.1976,1.0596,2.5262,4.2335,1.9473002,1.4000001,,1.6500001,1.4925001,,4.4033,4.1351004,0.6511,0.88720006,1.1008002,,,2.9129,3.4058,5.1856003,,,1.6279001,,3.0460002,4.4348,1.0526,0.60450006,2.1588001,2.0,,1.25,,1.6,1.4286001,,,,1.4481001,,1.3105,,,1.0036,6.1058,3.1858003,3.7725003,3.6447,0.80950004,,1.4363002,1.8206,1.7051,0.18090001,2.6907,1.9737,1.1807001,1.289,,,,,3.2684,1.0,,0.17650001,1.8988001,,0.6553,2.0188003,,1.2286,1.4286001
1987,1.5000001,1.5071001,,1.3310001,3.5421002,,,1.4962,,,1.2012,1.2635001,2.3718002,4.7095003,2.2976003,1.3076,,1.7917,1.8727001,,4.467,4.0638003,0.5773,0.6557,1.4229001,,,1.9679002,4.0505004,4.5455003,,,1.5909001,,2.4883,4.6087003,0.8571,1.0116,2.0437,2.0167,,1.0214001,,1.3143001,1.4286001,,,,0.70790005,,1.2857,,,0.808,5.2489,4.0485,3.7890003,3.7546003,0.8845,,1.3466,1.7612001,1.6571001,0.17080002,2.8369,2.0,1.1830001,1.5701001,,,,,3.6245003,1.0,,0.17650001,1.8259001,,1.0070001,1.9460001,,1.34,1.25
